"csize","cdense","usize","udense","si","phys","age","ba","dbh","height","volume","mortal","dense","x","y","infected.mndnr","infected.USU"
2,5,0,0,20,5,74,16,2,0,0,0,0,43924.3306681635,-12832.0892230701,0,1
3,4,0,0,18,5,96,65,4,0,0,0,2,45045.5974805244,-13054.776151035,0,1
2,3,0,0,20,5,90,77,2,0,0,0,2,45570.0929359659,-12778.9307383178,0,1
3,4,0,0,21,5,122,127,4,0,0,0,2,44580.5244471967,-13100.2065585665,0,1
1,9,0,0,30,4,7,0,0,1,62,0,2,44894.6262615848,-13255.6546878591,0,0
2,1,0,0,19,5,111,0,2,27,6,0,0,6433.25278248754,45168.4588395264,0,1
3,1,0,0,18,5,140,0,4,29,6,0,0,6379.74747955176,45442.1278286232,0,1
1,1,0,0,15,5,100,0,0,0,0,0,0,7258.10817240173,45112.8709528111,0,0
2,1,0,0,21,5,99,0,2,30,7,0,2,5689.54999124171,45043.7513343273,0,1
3,2,0,0,22,5,117,68,3,30,7,0,2,5384.64710219845,44778.2024629917,0,0
4,6,0,0,25,5,165,147,6,0,296,0,2,5382.26543557132,44555.8191500613,0,1
3,1,0,0,22,5,105,80,4,29,6,0,0,5687.67234225041,43510.7805353804,0,1
4,1,1,1,27,4,61,25,5,0,30,0,0,5691.88740521931,44316.8448430048,0,1
3,5,0,0,22,5,134,120,4,32,23,0,3,6512.59633444838,43823.7167076841,0,0
2,6,0,0,16,5,93,70,2,18,30,0,3,6097.59577270574,43609.2790731294,0,0
4,2,1,1,23,4,110,125,5,0,90,0,0,5599.18991589989,44260.6459223656,0,1
4,2,1,4,47,4,80,60,8,61,50,1,3,147240.425001136,-69073.7783347657,0,0
4,4,1,4,43,5,85,95,8,59,173,1,3,147559.227984137,-69428.0072819879,0,1
4,8,1,5,39,5,99,173,8,57,410,0,3,148966.827881077,-69471.7574700657,0,0
5,8,1,2,28,5,103,172,13,43,380,0,3,147587.201343021,-69835.4780278737,0,1
4,6,1,4,40,5,82,168,8,53,248,1,1,148848.599279308,-69608.21851929,0,0
5,2,1,3,40,3,101,48,12,58,30,3,2,147515.099918022,-69700.4697460942,0,1
5,2,1,3,40,3,101,48,12,58,30,3,2,147388.510584844,-69877.3334818529,0,1
5,3,1,3,45,4,108,80,9,68,172,1,3,148375.903890924,-69957.9143004678,0,1
1,3,0,0,42,4,5,0,0,3,10,0,2,147954.981704059,-69796.8534493698,0,0
5,2,1,3,42,4,74,50,11,51,82,1,3,148133.82418235,-70003.2177571179,0,1
4,5,1,2,39,4,69,113,7,49,257,0,0,148596.752469185,-70064.7569694109,0,0
5,4,1,2,41,4,103,103,10,60,210,2,3,147741.830249876,-70097.8529736428,0,0
4,3,1,6,36,4,89,100,8,51,145,1,3,148680.02621248,-68990.1681463774,0,0
3,1,0,0,19,5,143,30,4,0,0,0,0,143809.430212222,-53413.1283943057,0,1
5,4,2,2,41,4,92,104,9,58,186,1,1,144173.88020166,-53462.9869118901,1,1
5,4,2,2,41,4,92,104,9,58,186,1,1,143795.727198532,-53498.8192042802,1,1
4,1,2,3,30,4,78,100,5,39,27,1,1,143650.831164344,-53618.8270264594,0,0
5,3,3,1,45,4,67,105,9,0,139,0,0,143347.724982965,-53918.2680665134,0,1
0,0,0,0,0,5,0,33,0,0,0,0,2,143461.878670812,-54023.7200862998,0,1
1,1,0,0,30,4,1,0,0,1,0,0,0,70692.9464049984,-66425.8143041758,0,1
1,3,0,0,28,4,1,0,0,1,15,0,2,-39252.1854484494,43468.4937117361,0,NA
4,7,1,2,75,3,40,153,7,72,297,1,1,-40528.7578694577,43287.9183923993,0,NA
4,2,0,0,35,4,147,70,8,55,66,1,2,-39648.4780108861,43329.0587299857,1,NA
4,1,1,1,27,4,77,70,8,36,54,0,2,-40040.0210007596,43208.0121114329,0,NA
4,4,1,2,52,3,70,115,8,56,170,1,1,-40674.058852191,43322.1448923573,0,NA
1,5,0,0,20,5,15,63,0,3,27,1,0,-42869.4646165284,42926.4792790804,1,NA
1,5,0,0,29,4,12,50,0,12,9,0,0,-38734.3714981207,43418.8558961935,0,NA
2,4,0,0,19,5,127,40,2,29,20,0,0,-41764.0042044334,42816.0201031752,1,NA
1,2,0,0,15,5,25,5,0,3,10,1,0,-42796.8933146861,42758.0325467233,1,NA
4,3,2,3,33,4,109,120,6,46,175,0,0,-41339.3089450051,43118.7984177051,0,NA
4,3,1,2,34,4,103,160,7,50,78,1,1,-39432.2070524863,43061.9791201381,1,NA
1,4,0,0,14,5,22,0,0,3,19,0,0,-42170.0786775281,42774.6932632709,0,NA
1,5,0,0,40,4,22,22,0,10,14,0,1,-39144.7537383417,43053.1707092077,0,NA
4,1,1,5,24,4,135,85,6,37,48,0,0,-41327.2174693412,42883.0539193572,0,NA
1,3,0,0,19,5,20,27,0,4,13,1,1,-44613.803508117,42623.4628530666,1,NA
4,1,3,3,50,4,74,160,5,58,50,0,2,-40342.6471919658,42887.2221332714,0,NA
4,1,2,2,30,4,99,32,7,43,20,0,2,-40309.5357897237,42551.7827035291,0,NA
3,3,0,0,50,3,42,100,4,40,13,0,1,-39992.5949059284,42583.6800679127,0,NA
1,3,0,0,19,5,20,27,0,4,13,1,1,-44840.7855881522,42588.7970947102,1,NA
5,2,1,1,31,5,202,37,9,53,42,1,3,-45423.0713488699,42559.811686663,0,NA
2,1,0,0,19,5,21,13,2,8,2,0,2,-39491.0875393502,42531.3985323673,0,NA
4,2,1,4,25,4,95,112,8,36,45,2,1,-40941.7007881199,42539.1235584347,0,NA
4,2,1,1,33,4,90,70,7,45,50,0,2,-37611.4133494798,42492.1082407162,0,NA
3,3,0,0,24,4,119,70,4,35,15,0,3,-39624.5993461448,42480.526181086,0,NA
5,4,2,1,19,3,170,185,10,35,163,1,1,-38782.7548848958,42449.546351335,0,NA
4,3,1,3,30,4,98,99,6,42,52,1,2,-45543.5833880807,42490.8876124816,1,NA
2,5,0,0,14,5,116,55,2,20,24,1,3,-39687.9253387772,42418.0094566122,0,NA
4,4,1,3,20,4,137,163,7,35,147,0,1,-46921.3173415975,41857.6288916543,0,NA
4,4,1,1,18,4,176,117,8,34,93,0,2,-47215.8388674084,42281.1238521934,0,NA
5,1,1,3,32,5,175,72,9,47,30,0,2,-46164.6228722945,42292.9945827723,0,NA
4,1,1,3,29,5,108,96,5,40,44,0,2,-46021.3358701534,42316.7752250759,1,NA
3,2,0,0,27,5,73,75,4,32,5,0,2,-45869.02026032,42273.8739521224,0,NA
4,2,1,3,30,4,98,99,6,42,65,1,2,-45700.4502663085,42186.0743099432,1,NA
4,3,1,1,41,4,73,72,7,53,92,1,2,-45255.1211271437,42264.955946329,1,NA
1,3,0,0,28,4,13,27,0,5,13,1,0,-44995.8753150339,42142.788319122,1,NA
4,1,2,1,32,4,122,60,6,44,57,1,3,-44862.7284006597,42178.9812375642,1,NA
1,2,0,0,37,4,1,0,0,1,8,0,1,-50060.2356178971,41679.9545509815,0,NA
1,3,0,0,19,5,20,27,0,4,13,1,1,-44815.849548455,42316.9089902183,1,NA
1,3,0,0,19,5,20,27,0,4,13,1,1,-44446.9905062591,42106.1850772789,1,NA
1,5,0,0,18,5,23,42,0,3,24,1,0,-43758.7814543126,41943.6022261484,1,NA
1,4,0,0,14,5,21,27,0,4,20,1,0,-43338.0959066352,41679.1551451022,1,NA
3,3,0,0,24,5,146,107,4,38,13,0,0,-45118.5546565366,42083.2523570042,1,NA
2,1,0,0,19,5,21,13,2,8,2,0,2,-38641.2211083877,42291.0310930712,0,NA
2,1,0,0,19,5,21,13,2,8,2,0,2,-37757.1300342761,42188.7345761843,0,NA
2,2,0,0,30,4,19,16,2,21,8,0,3,-40165.5711749989,41699.8954929467,0,NA
2,5,0,0,14,5,116,55,2,20,24,1,3,-38945.0559201539,41642.9331012052,0,NA
3,3,0,0,24,4,119,70,4,35,15,0,3,-38816.180060055,42224.4227948859,0,NA
3,3,0,0,24,4,119,70,4,35,15,1,3,-39920.7473674613,42209.316418916,1,NA
3,3,0,0,24,4,119,70,4,35,15,1,3,-39789.5720554917,42194.8831961537,1,NA
4,1,1,2,30,3,80,64,5,41,24,0,1,-37208.4295070007,42108.0800618762,0,NA
4,3,2,3,40,4,48,122,6,40,148,0,0,-40295.2380740644,42141.4024564615,1,NA
4,1,2,3,49,3,48,83,5,49,34,0,1,-36784.6165732256,41894.3484098651,0,NA
1,1,0,0,29,5,10,2,0,7,2,0,3,-45356.1459882375,42030.5156278592,0,NA
4,1,1,5,17,5,126,102,5,27,45,0,2,-46165.4028311081,42119.2965151025,0,NA
3,3,0,0,24,4,119,70,4,35,15,0,3,-37524.0956811848,41919.586470549,0,NA
5,5,2,4,35,3,149,133,13,64,147,2,0,-47702.5979594521,41919.0926020769,0,NA
4,1,2,2,30,4,99,32,7,43,20,0,2,-40309.4440956978,41970.1138568921,0,NA
4,3,1,2,46,4,99,90,7,44,123,0,2,-49364.2831269532,41967.1718639834,0,NA
4,3,1,7,20,4,120,151,7,31,125,0,1,-49403.4057664811,41791.7054833164,0,NA
1,3,0,0,7,5,49,10,0,7,15,3,3,-38442.7066331519,41905.9203507211,0,NA
4,2,2,1,40,4,52,66,6,41,90,2,0,-40070.4430487744,41916.3276153617,1,NA
4,1,1,6,18,4,101,102,6,27,60,1,1,-50963.8679550009,41704.779188782,0,NA
4,1,3,2,21,4,183,87,5,34,57,1,2,-39765.042896365,41835.0188257229,1,NA
3,2,0,0,19,4,179,50,4,33,9,1,2,-39595.2119585716,41769.1320198039,1,NA
5,7,1,7,25,4,150,202,10,44,350,0,0,-47334.1748631997,41794.0913851596,0,NA
1,3,0,0,7,5,49,10,0,7,15,3,3,-37625.6401845807,41135.5836422369,0,NA
4,1,1,5,17,5,126,102,5,27,45,0,2,-46129.0422340222,41386.1167063294,0,NA
4,3,1,4,20,4,120,125,7,34,93,1,2,-45331.0167951123,41291.1643434055,0,NA
2,5,0,0,14,5,116,55,2,20,24,1,3,-37345.9159348668,41537.9015508369,0,NA
3,4,0,0,20,5,130,83,4,31,20,1,0,-43189.7364972312,41520.1024758313,1,NA
4,3,1,5,24,4,131,82,8,38,103,0,2,-48514.0718233706,41656.1855235444,0,NA
1,2,0,0,25,5,20,13,0,4,8,1,1,-44240.6011702794,41553.8557843352,1,NA
5,1,2,1,35,4,114,33,9,49,34,1,2,-52401.7519556931,41485.2655730806,0,NA
4,1,1,6,18,4,101,102,6,27,60,1,1,-51552.534891464,41545.4259650521,0,NA
2,2,0,0,30,4,19,16,2,21,8,0,3,-39803.8770913295,41521.1206925632,0,NA
4,2,0,0,35,4,177,52,8,54,66,1,2,-53902.0414269614,41156.5636845818,0,NA
4,3,1,2,38,4,59,89,8,42,124,0,1,-48338.5721142301,41236.4153688923,1,NA
2,4,0,0,21,5,130,125,2,25,21,1,0,-43125.2865157874,41311.3591705943,1,NA
1,9,0,0,25,4,6,0,0,1,90,0,0,-44085.253325268,41361.0066076722,0,NA
2,4,0,0,21,5,130,125,2,25,21,1,0,-42727.1719711795,41415.4043793837,1,NA
4,1,2,1,23,4,99,56,6,34,46,1,1,-40056.2042839282,41387.2032991657,1,NA
4,2,2,4,47,3,35,70,6,38,24,0,1,-40737.3846472158,41310.4413522612,0,NA
4,2,2,2,20,4,103,100,6,31,87,1,2,-40541.6276696532,41040.8056031056,0,NA
4,3,2,3,47,4,51,123,7,47,87,0,2,-41717.3186666842,41414.287178224,0,NA
4,3,1,7,20,4,120,151,7,31,125,0,1,-49484.0767731511,41382.7071227562,0,NA
4,3,1,2,21,4,115,118,8,34,90,0,1,-46933.6307726616,41193.4762491537,0,NA
4,2,1,1,27,4,100,50,7,39,117,2,3,-36716.6912425514,41372.7763635237,1,NA
4,1,2,1,23,4,99,56,6,34,46,1,1,-39778.2358745965,41347.4338792367,1,NA
4,2,2,2,23,4,103,70,6,34,46,0,1,-40005.8257088173,41149.7891394272,0,NA
1,6,0,0,28,4,6,0,0,1,90,0,0,-43610.3340961771,41279.2148686023,0,NA
4,3,1,2,38,4,59,89,8,42,83,0,1,-47885.9925544787,41121.0647635181,1,NA
1,2,0,0,35,4,0,0,0,1,10,0,2,-54014.8749751321,41259.2486632401,0,NA
4,2,3,2,33,4,162,112,6,52,112,1,0,-42560.24140144,41268.1953946836,1,NA
1,3,0,0,7,5,49,10,0,7,15,3,3,-39202.8398610634,40973.1597947488,0,NA
4,3,1,4,20,4,118,105,6,30,75,0,2,-54960.4405946942,41107.6581654213,0,NA
1,3,0,0,25,5,6,0,0,8,14,0,0,-44065.9050775623,41241.6348237982,0,NA
1,3,0,0,7,5,49,10,0,7,15,3,3,-39908.4251557501,41014.6434163162,0,NA
4,4,2,1,44,4,69,117,7,54,190,1,0,-41851.6494282332,41142.1141291996,1,NA
4,1,1,6,18,4,101,102,6,27,60,1,1,-50549.4666559693,41160.4371052943,0,NA
4,7,1,1,54,3,60,170,7,54,190,0,0,-49528.7789567879,41136.7469592365,0,NA
